LAST SEEN   TYPE      REASON                       OBJECT                                           MESSAGE
7m43s       Normal    Scheduled                    pod/vllm-int4-6fdd7c4c4f-72l7s                   Successfully assigned forge-system/vllm-int4-6fdd7c4c4f-72l7s to frontier-forge-a10-j
39m         Normal    Scheduled                    pod/vllm-int4-6c55d9f669-x29w9                   Successfully assigned forge-system/vllm-int4-6c55d9f669-x29w9 to frontier-forge-a10-j
14m         Normal    KEDAScaleTargetDeactivated   scaledobject/vllm-int4                           Deactivated apps/v1.Deployment forge-system/vllm-int4 from 1 to 0
14m         Normal    KEDAScaleTargetActivated     scaledobject/vllm-int4                           Scaled apps/v1.Deployment forge-system/vllm-int4 from 0 to 1, triggered by s0-prometheus
34m         Normal    KEDAScaleTargetActivated     scaledobject/vllm-int4                           Scaled apps/v1.Deployment forge-system/vllm-int4 from 0 to 1, triggered by s0-prometheus
12m         Normal    KEDAScaleTargetActivated     scaledobject/vllm-int4                           Scaled apps/v1.Deployment forge-system/vllm-int4 from 0 to 1, triggered by s0-prometheus
37m         Normal    KEDAScaleTargetDeactivated   scaledobject/vllm-int4                           Deactivated apps/v1.Deployment forge-system/vllm-int4 from 1 to 0
7m53s       Normal    KEDAScaleTargetDeactivated   scaledobject/vllm-int4                           Deactivated apps/v1.Deployment forge-system/vllm-int4 from 1 to 0
7m43s       Normal    KEDAScaleTargetActivated     scaledobject/vllm-int4                           Scaled apps/v1.Deployment forge-system/vllm-int4 from 0 to 1, triggered by s0-prometheus
10m         Normal    Scheduled                    pod/vllm-int4-6fdd7c4c4f-48vvk                   Successfully assigned forge-system/vllm-int4-6fdd7c4c4f-48vvk to frontier-forge-a10-j
34m         Normal    Scheduled                    pod/vllm-router-5b54cf7794-n685d                 Successfully assigned forge-system/vllm-router-5b54cf7794-n685d to frontier-forge-a10-j
52m         Normal    ScalingReplicaSet            deployment/vllm-router                           Scaled up replica set vllm-router-7bb55667c9 from 0 to 1
52m         Normal    SuccessfulCreate             replicaset/vllm-router-7bb55667c9                Created pod: vllm-router-7bb55667c9-kt7bj
52m         Normal    Pulled                       pod/vllm-router-7bb55667c9-kt7bj                 Container image "nginx:1.29.1-alpine" already present on machine and can be accessed by the pod
52m         Normal    SuccessfulDelete             replicaset/vllm-router-599b74f976                Deleted pod: vllm-router-599b74f976-8rmkm
52m         Normal    Killing                      pod/vllm-router-599b74f976-8rmkm                 Stopping container router
52m         Normal    ScalingReplicaSet            deployment/vllm-router                           Scaled down replica set vllm-router-599b74f976 from 1 to 0
52m         Normal    Started                      pod/vllm-router-7bb55667c9-kt7bj                 Container started
52m         Normal    Created                      pod/vllm-router-7bb55667c9-kt7bj                 Container created
52m         Warning   FailedCreate                 replicaset/vllm-int4-69b688cb98                  Error creating: pods "vllm-int4-69b688cb98-6mfkr" is forbidden: violates PodSecurity "baseline:latest": hostPath volumes (volumes "checkpoints", "hf-archive")
52m         Warning   FailedCreate                 replicaset/vllm-int4-69b688cb98                  Error creating: pods "vllm-int4-69b688cb98-5hxj2" is forbidden: violates PodSecurity "baseline:latest": hostPath volumes (volumes "checkpoints", "hf-archive")
52m         Normal    ScalingReplicaSet            deployment/vllm-int4                             Scaled up replica set vllm-int4-69b688cb98 from 0 to 1
52m         Warning   FailedCreate                 replicaset/vllm-int4-69b688cb98                  Error creating: pods "vllm-int4-69b688cb98-8hrbz" is forbidden: violates PodSecurity "baseline:latest": hostPath volumes (volumes "checkpoints", "hf-archive")
52m         Warning   FailedCreate                 replicaset/vllm-int4-69b688cb98                  Error creating: pods "vllm-int4-69b688cb98-cxq9r" is forbidden: violates PodSecurity "baseline:latest": hostPath volumes (volumes "checkpoints", "hf-archive")
52m         Warning   FailedCreate                 replicaset/vllm-int4-69b688cb98                  Error creating: pods "vllm-int4-69b688cb98-t9cpz" is forbidden: violates PodSecurity "baseline:latest": hostPath volumes (volumes "checkpoints", "hf-archive")
52m         Warning   FailedCreate                 replicaset/vllm-int4-69b688cb98                  Error creating: pods "vllm-int4-69b688cb98-8sbrk" is forbidden: violates PodSecurity "baseline:latest": hostPath volumes (volumes "checkpoints", "hf-archive")
