LAST SEEN   TYPE      REASON                       OBJECT                                           MESSAGE
2m52s       Normal    Pulled                       pod/forge-k6-saturation-tzcn2                    Container image "grafana/k6:2.2.0" already present on machine and can be accessed by the pod
2m52s       Normal    Started                      pod/forge-k6-saturation-tzcn2                    Container started
2m47s       Warning   Unhealthy                    pod/forge-gateway-7bd85bb8cc-pxhqr               Readiness probe failed: HTTP probe failed with statuscode: 503
2m32s       Normal    ScalingReplicaSet            deployment/forge-gateway                         Scaled up replica set forge-gateway-7bd85bb8cc from 1 to 3
2m32s       Normal    Started                      pod/forge-gateway-7bd85bb8cc-jkwss               Container started
2m32s       Normal    Pulled                       pod/forge-gateway-7bd85bb8cc-668nn               Container image "frontier-forge/gateway:phase7-2" already present on machine and can be accessed by the pod
2m32s       Normal    SuccessfulRescale            horizontalpodautoscaler/keda-hpa-forge-gateway   New size: 3; reason: external metric s0-prometheus(&LabelSelector{MatchLabels:map[string]string{scaledobject.keda.sh/name: forge-gateway,},MatchExpressions:[]LabelSelectorRequirement{},}) above target
2m32s       Normal    Created                      pod/forge-gateway-7bd85bb8cc-668nn               Container created
2m32s       Normal    Started                      pod/forge-gateway-7bd85bb8cc-668nn               Container started
2m32s       Normal    SuccessfulCreate             replicaset/forge-gateway-7bd85bb8cc              Created pod: forge-gateway-7bd85bb8cc-jkwss
2m32s       Normal    SuccessfulCreate             replicaset/forge-gateway-7bd85bb8cc              Created pod: forge-gateway-7bd85bb8cc-668nn
2m32s       Normal    Pulled                       pod/forge-gateway-7bd85bb8cc-jkwss               Container image "frontier-forge/gateway:phase7-2" already present on machine and can be accessed by the pod
2m32s       Normal    Created                      pod/forge-gateway-7bd85bb8cc-jkwss               Container created
2m24s       Warning   Unhealthy                    pod/forge-gateway-7bd85bb8cc-jkwss               Readiness probe failed: HTTP probe failed with statuscode: 503
2m12s       Warning   Unhealthy                    pod/forge-gateway-7bd85bb8cc-668nn               Readiness probe failed: HTTP probe failed with statuscode: 503
18s         Normal    Completed                    job/forge-k6-saturation                          Job completed
2s          Normal    Killing                      pod/forge-gateway-7bd85bb8cc-jkwss               Stopping container gateway
2s          Warning   Unhealthy                    pod/forge-gateway-7bd85bb8cc-jkwss               Readiness probe failed: Get "http://10.42.0.94:9000/readyz": dial tcp 10.42.0.94:9000: connect: connection refused
2s          Normal    SuccessfulRescale            horizontalpodautoscaler/keda-hpa-forge-gateway   New size: 1; reason: All metrics below target
2s          Warning   Unhealthy                    pod/forge-gateway-7bd85bb8cc-668nn               Readiness probe failed: Get "http://10.42.0.93:9000/readyz": dial tcp 10.42.0.93:9000: connect: connection refused
2s          Normal    Killing                      pod/forge-gateway-7bd85bb8cc-668nn               Stopping container gateway
2s          Normal    SuccessfulDelete             replicaset/forge-gateway-7bd85bb8cc              Deleted pod: forge-gateway-7bd85bb8cc-668nn
2s          Normal    SuccessfulDelete             replicaset/forge-gateway-7bd85bb8cc              Deleted pod: forge-gateway-7bd85bb8cc-jkwss
2s          Normal    ScalingReplicaSet            deployment/forge-gateway                         Scaled down replica set forge-gateway-7bd85bb8cc from 3 to 1
